destination,country,budget_level,category,avg_daily_cost,best_season,description
New York,USA,High,City,220,Spring/Fall,Urban trip with museums food shopping and landmarks
Los Angeles,USA,High,City,200,Spring/Summer,Entertainment beaches and city attractions
Seattle,USA,Medium,Nature,150,Summer,City nature coffee culture and outdoor activities
Miami,USA,Medium,Beach,170,Winter/Spring,Beach nightlife and warm weather
Las Vegas,USA,Medium,Entertainment,160,Fall/Winter,Shows nightlife and budget-friendly hotels
San Francisco,USA,High,City,230,Spring/Fall,Technology culture landmarks and coastal views
Chicago,USA,Medium,City,140,Summer/Fall,Architecture museums food and lakefront activities
Honolulu,USA,High,Beach,260,Spring/Summer,Island beaches hiking and cultural experiences
Portland,USA,Medium,Nature,130,Summer/Fall,Food coffee parks and nature-focused travel
Denver,USA,Medium,Nature,145,Spring/Summer,Mountain access city life and outdoor activities